team1,team2,winner,margin,matchDate,match_id
Super Kings,KKR,Super Kings,27 runs,2021-10-15,T203817
Capitals,KKR,KKR,3 wickets,2021-10-13,T206442
RCB,KKR,KKR,4 wickets,2021-10-11,T208597
Capitals,Super Kings,Super Kings,4 wickets,2021-10-10,T201819
Capitals,RCB,RCB,7 wickets,2021-10-08,T205942
Mumbai,Sunrisers,Mumbai,42 runs,2021-10-08,T201979
KKR,Royals,KKR,86 runs,2021-10-07,T204179
Super Kings,Punjab Kings,Punjab Kings,6 wickets,2021-10-07,T201866
Sunrisers,RCB,Sunrisers,4 runs,2021-10-06,T209992
Royals,Mumbai,Mumbai,8 wickets,2021-10-05,T205599
Super Kings,Capitals,Capitals,3 wickets,2021-10-04,T207682
Sunrisers,KKR,KKR,6 wickets,2021-10-03,T207430
RCB,Punjab Kings,RCB,6 runs,2021-10-03,T207754
Super Kings,Royals,Royals,7 wickets,2021-10-02,T205672
Mumbai,Capitals,Capitals,4 wickets,2021-10-02,T209349
KKR,Punjab Kings,Punjab Kings,5 wickets,2021-10-01,T201051
Sunrisers,Super Kings,Super Kings,6 wickets,2021-09-30,T203061
Royals,RCB,RCB,7 wickets,2021-09-29,T204742
Punjab Kings,Mumbai,Mumbai,6 wickets,2021-09-28,T208262
Capitals,KKR,KKR,3 wickets,2021-09-28,T206700
Royals,Sunrisers,Sunrisers,7 wickets,2021-09-27,T206862
RCB,Mumbai,RCB,54 runs,2021-09-26,T203043
KKR,Super Kings,Super Kings,2 wickets,2021-09-26,T202406
Punjab Kings,Sunrisers,Punjab Kings,5 runs,2021-09-25,T203188
Capitals,Royals,Capitals,33 runs,2021-09-25,T202046
RCB,Super Kings,Super Kings,6 wickets,2021-09-24,T207776
Mumbai,KKR,KKR,7 wickets,2021-09-23,T202680
Sunrisers,Capitals,Capitals,8 wickets,2021-09-22,T204364
Royals,Punjab Kings,Royals,2 runs,2021-09-21,T207857
RCB,KKR,KKR,9 wickets,2021-09-20,T204307
Super Kings,Mumbai,Super Kings,20 runs,2021-09-19,T201256
Punjab Kings,Capitals,Capitals,7 wickets,2021-05-02,T208407
